code,name
8143,"Machine operators, paper products "
8151,"Machine operators, bleaching, dyeing and cleaning "
8159,"Machine operators not elsewhere classified, textile, fur and leather products"
8161,"Machine operators, meat- and fish-processing "
8162,"Machine operators, dairy-products "
8163,"Machine operators, baked-goods, cereal and chocolate-products "
8169,"Machine operators not elsewhere classified, food and related products "
8171,Paper pulp plant operators
8172,Papermaking plant operators
8173,"Wood processing, sawmill and plywood plant operators"
8174,"Machine operators, wood treaters "
8181,"Machine operators, packing, bottling and labelling"
8189,"Machine operators not elsewhere classified, stationary plant and "
8191,Power production and water treatment plant operators
8192,Chemical processing plant controllers
8193,Metal production process controllers
8199,Process control technicians not elsewhere classified
8211,Mechanical machinery assemblers
8212,Electrical and electronic equipment assemblers
8213,"Metal-, rubber- and plastic-products assemblers"
8214,Wood and related products assemblers
8219,Assemblers not elsewhere classified
8311,Train operator
8312,"Railway, signal and switch operators"
8321,"Taxi, car, and van drivers"
8329,"Motorcycle, bicycle drivers and other automobile drivers not elsewhere classified"
8331,Bus and tram drivers
8332,Heavy truck and lorry drivers
8341,Forestry and agricultural machinery operators
8342,Heavy Equipment Operators
8343,"Crane, hoist and related plant operators"
8344,Fork-lift drivers
8350,Ships' deck crews and related workers
9111,"Cleaners and helpers in offices, hotels and other establishments"
9119,"Maid, nanny and related workers"
9120,"Car reconditioning labourers, window cleaners and other hand cleaning workers"
9210,Berry pickers and planters
9310,Construction labourers
9320,Manufacturing labourers
9331,Dock labourers
9332,"Ground personnel, movers and stockers"
9411,Pizza makers and fast food preparers
9412,Restaurant and kitchen helpers
9413,Café and confectionery assistants
9520,Street and market vendors
9610,Recycling collectors
9621,Leaflet and newspaper distributors
9622,Janitors and related workers
9629,Other service workers not elsewhere classified
0110,Commissioned armed forces officers
0210,Non-commissioned armed forces officers
0310,"Armed forces occupation, other ranks"
